,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_add_amount
64,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기반기말,2016.06.30 현재,"279,450,901,913",제 17 기말,2015.12.31 현재,"268,850,850,727",,,,10,KRW,,
65,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,부채총계,제 18 기반기말,2016.06.30 현재,"1,066,224,317,894",제 17 기말,2015.12.31 현재,"1,008,001,314,720",,,,12,KRW,,
66,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기반기말,2016.06.30 현재,"3,614,329,821,405",제 17 기말,2015.12.31 현재,"3,293,691,504,479",,,,19,KRW,,
67,20160816002079,11012,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자본총계,제 18 기반기말,2016.06.30 현재,"2,655,484,681,882",제 17 기말,2015.12.31 현재,"2,375,716,335,171",,,,22,KRW,,
68,20160816002079,11012,2016,00266961,035420,OFS,재무제표,IS,손익계산서,매출액,제 18 기반기,2016.01.01 ~ 2016.06.30,"615,622,300,819",제 17 기반기,2015.01.01 ~ 2015.06.30,"531,959,309,221",,,,24,KRW,"1,201,284,797,241","1,020,161,145,469"
69,20160816002079,11012,2016,00266961,035420,OFS,재무제표,IS,손익계산서,영업이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"234,357,522,016",제 17 기반기,2015.01.01 ~ 2015.06.30,"208,499,723,967",,,,26,KRW,"450,030,658,978","394,098,039,280"
70,20160816002079,11012,2016,00266961,035420,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"241,146,490,185",제 17 기반기,2015.01.01 ~ 2015.06.30,"209,612,169,861",,,,28,KRW,"462,407,519,765","422,810,718,452"
71,20160816002079,11012,2016,00266961,035420,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기반기,2016.01.01 ~ 2016.06.30,"183,827,341,553",제 17 기반기,2015.01.01 ~ 2015.06.30,"163,852,692,922",,,,30,KRW,"352,769,006,726","320,212,288,168"
72,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기1분기말,2016.03.31 현재,"2,772,728,487,682",제 17 기말,2015.12.31 현재,"2,639,382,642,620",,,,1,KRW,,
73,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기1분기말,2016.03.31 현재,"1,752,455,606,601",제 17 기말,2015.12.31 현재,"1,746,530,375,501",,,,3,KRW,,
74,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기1분기말,2016.03.31 현재,"4,525,184,094,283",제 17 기말,2015.12.31 현재,"4,385,913,018,121",,,,5,KRW,,
75,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기1분기말,2016.03.31 현재,"1,693,334,081,189",제 17 기말,2015.12.31 현재,"1,683,655,879,811",,,,7,KRW,,
76,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기1분기말,2016.03.31 현재,"443,250,549,886",제 17 기말,2015.12.31 현재,"432,678,618,822",,,,9,KRW,,
77,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기1분기말,2016.03.31 현재,"2,136,584,631,075",제 17 기말,2015.12.31 현재,"2,116,334,498,633",,,,11,KRW,,
78,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 18 기1분기말,2016.03.31 현재,"3,202,698,226,020",제 17 기말,2015.12.31 현재,"3,069,369,884,003",,,,17,KRW,,
79,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기1분기말,2016.03.31 현재,"2,388,599,463,208",제 17 기말,2015.12.31 현재,"2,269,578,519,488",,,,21,KRW,,
80,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기1분기,2016.01.01 ~ 2016.03.31,"937,280,220,152",제 17 기1분기,2015.01.01 ~ 2015.03.31,"740,570,050,396",,,,23,KRW,"937,280,220,152","740,570,050,396"
81,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"256,827,536,675",제 17 기1분기,2015.01.01 ~ 2015.03.31,"194,372,626,967",,,,25,KRW,"256,827,536,675","194,372,626,967"
82,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"256,212,462,670",제 17 기1분기,2015.01.01 ~ 2015.03.31,"224,705,730,819",,,,27,KRW,"256,212,462,670","224,705,730,819"
83,20160516003204,11013,2016,00266961,035420,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"165,036,146,535",제 17 기1분기,2015.01.01 ~ 2015.03.31,"134,555,401,368",,,,29,KRW,"165,036,146,535","134,555,401,368"
84,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동자산,제 18 기1분기말,2016.03.31 현재,"1,897,990,687,929",제 17 기말,2015.12.31 현재,"1,804,796,318,644",,,,2,KRW,,
85,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기1분기말,2016.03.31 현재,"1,614,012,329,027",제 17 기말,2015.12.31 현재,"1,578,921,331,247",,,,4,KRW,,
86,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자산총계,제 18 기1분기말,2016.03.31 현재,"3,512,003,016,956",제 17 기말,2015.12.31 현재,"3,383,717,649,891",,,,6,KRW,,
87,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,유동부채,제 18 기1분기말,2016.03.31 현재,"767,094,452,948",제 17 기말,2015.12.31 현재,"739,150,463,993",,,,8,KRW,,
88,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기1분기말,2016.03.31 현재,"274,013,810,080",제 17 기말,2015.12.31 현재,"268,850,850,727",,,,10,KRW,,
89,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,부채총계,제 18 기1분기말,2016.03.31 현재,"1,041,108,263,028",제 17 기말,2015.12.31 현재,"1,008,001,314,720",,,,12,KRW,,
90,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기1분기말,2016.03.31 현재,"3,430,502,479,852",제 17 기말,2015.12.31 현재,"3,293,691,504,479",,,,19,KRW,,
91,20160516003204,11013,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자본총계,제 18 기1분기말,2016.03.31 현재,"2,470,894,753,928",제 17 기말,2015.12.31 현재,"2,375,716,335,171",,,,22,KRW,,
92,20160516003204,11013,2016,00266961,035420,OFS,재무제표,IS,손익계산서,매출액,제 18 기1분기,2016.01.01 ~ 2016.03.31,"585,662,496,422",제 17 기1분기,2015.01.01 ~ 2015.03.31,"488,201,836,248",,,,24,KRW,"585,662,496,422","488,201,836,248"
93,20160516003204,11013,2016,00266961,035420,OFS,재무제표,IS,손익계산서,영업이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"215,673,136,962",제 17 기1분기,2015.01.01 ~ 2015.03.31,"185,598,315,313",,,,26,KRW,"215,673,136,962","185,598,315,313"
94,20160516003204,11013,2016,00266961,035420,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"221,261,029,580",제 17 기1분기,2015.01.01 ~ 2015.03.31,"213,198,548,591",,,,28,KRW,"221,261,029,580","213,198,548,591"
95,20160516003204,11013,2016,00266961,035420,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기1분기,2016.01.01 ~ 2016.03.31,"168,941,665,173",제 17 기1분기,2015.01.01 ~ 2015.03.31,"156,359,595,246",,,,30,KRW,"168,941,665,173","156,359,595,246"
